Timestamp (s),Detected Number
158.20000000000002,55.0
158.8,55.0
159.4,55.0
160.0,55.0
160.60000000000002,55.0
161.20000000000002,55.1
161.8,55.1
162.4,55.0
163.0,55.1
163.70000000000002,55.1
164.3,55.1
165.0,55.1
165.60000000000002,55.1
172.70000000000002,55.1
173.8,55.1
174.60000000000002,55.1
175.10000000000002,55.1
175.70000000000002,55.2
176.3,55.2
177.20000000000002,55.2
178.10000000000002,55.2
178.70000000000002,55.2
179.4,55.2
180.00000000000003,55.2
180.70000000000002,55.2
181.3,55.2
181.9,55.2
182.50000000000003,55.2
183.20000000000002,55.2
183.8,55.2
184.4,55.2
185.10000000000002,55.2
185.70000000000002,55.2
186.3,55.2
187.00000000000003,55.2
187.60000000000002,55.2
188.20000000000002,55.0
188.9,55.0
189.50000000000003,55.0
190.20000000000002,55.0
190.8,55.0
191.4,55.0
192.10000000000002,55.0
192.70000000000002,55.0
193.4,55.2
194.00000000000003,55.2
194.70000000000002,55.2
195.3,55.2
196.00000000000003,55.2
196.60000000000002,55.2
197.3,55.2
197.9,55.2
198.60000000000002,55.2
199.20000000000002,55.2
199.9,55.2
200.50000000000003,55.2
201.20000000000002,55.2
201.9,55.2
209.60000000000002,55.2
211.00000000000003,55.2
211.50000000000003,55.2
212.10000000000002,55.2
212.60000000000002,55.2
213.3,55.2
214.00000000000003,55.2
214.60000000000002,55.2
215.3,55.2
216.00000000000003,55.2
216.60000000000002,55.1
217.3,55.1
218.00000000000003,55.1
218.60000000000002,55.1
219.3,55.2
220.00000000000003,55.2
220.60000000000002,55.2
221.3,55.2
222.00000000000003,55.1
222.70000000000002,55.1
223.3,55.1
224.00000000000003,55.1
224.70000000000002,55.1
225.4,55.1
226.00000000000003,55.1
226.70000000000002,55.1
227.4,55.1
228.10000000000002,55.2
228.8,55.2
229.50000000000003,55.2
230.10000000000002,55.2
230.8,55.2
231.50000000000003,55.2
232.20000000000002,55.2
232.9,55.2
233.60000000000002,55.2
234.3,55.2
235.00000000000003,55.2
235.60000000000002,55.2
236.3,55.2
237.00000000000003,55.2
237.70000000000002,55.2
238.4,55.2
239.10000000000002,55.2
239.8,55.2
240.50000000000003,55.2
241.20000000000002,55.2
241.9,55.2
242.60000000000002,55.2
243.3,55.2
244.00000000000003,55.2
244.70000000000002,55.2
245.40000000000003,55.2
246.20000000000002,55.2
246.90000000000003,55.2
247.60000000000002,55.2
248.3,55.2
249.00000000000003,55.2
249.70000000000002,55.2
250.40000000000003,55.2
251.10000000000002,55.2
251.8,55.2
252.60000000000002,55.2
253.3,55.2
254.00000000000003,55.2
254.70000000000002,55.2
255.40000000000003,54.7
256.1,54.7
256.90000000000003,54.7
257.6,54.7
258.3,54.7
259.0,54.8
259.8,54.7
260.5,54.8
261.20000000000005,54.8
262.0,54.8
262.70000000000005,54.8
263.40000000000003,54.8
264.1,55.0
264.90000000000003,54.9
265.6,54.9
266.3,54.9
267.1,54.9
267.8,54.9
268.5,54.9
269.3,54.9
270.0,54.9
270.70000000000005,54.8
271.5,54.8
272.20000000000005,54.8
273.0,54.8
273.70000000000005,54.8
274.40000000000003,55.0
275.20000000000005,55.0
275.90000000000003,54.9
276.70000000000005,54.9
277.40000000000003,54.9
278.20000000000005,55.0
278.90000000000003,55.0
279.70000000000005,55.1
280.40000000000003,55.6
281.1,55.6
281.90000000000003,54.59
282.6,54.9
283.40000000000003,54.9
284.1,55.0
284.90000000000003,55.0
285.70000000000005,55.0
286.40000000000003,55.0
287.20000000000005,54.9
287.90000000000003,54.9
288.70000000000005,55.0
289.5,55.0
290.20000000000005,55.6
291.0,55.6
291.70000000000005,55.6
292.5,55.6
293.3,55.6
294.0,55.6
294.8,55.0
295.6,55.0
296.3,55.0
297.1,55.0
297.90000000000003,55.0
298.6,55.0
299.40000000000003,55.0
300.20000000000005,55.0
301.0,55.0
301.70000000000005,55.0
302.5,55.0
303.3,55.1
304.0,55.1
304.8,55.1
305.6,55.1
306.40000000000003,55.1
307.20000000000005,55.1
307.90000000000003,55.1
308.70000000000005,55.1
309.5,55.1
310.3,55.1
311.1,55.1
311.8,55.1
312.6,55.1
313.40000000000003,55.1
314.3,55.1
315.0,55.1
315.8,55.2
316.70000000000005,55.2
317.5,55.1
318.3,55.1
